date,Bitcoin,BTC,bit coin,Bit Coin
2016-06-19,4,2,6,6
2016-06-26,3,1,5,5
2016-07-03,4,1,4,4
2016-07-10,3,1,5,5
2016-07-17,2,1,6,6
2016-07-24,3,1,4,4
2016-07-31,3,1,6,6
2016-08-07,3,2,4,4
2016-08-14,2,2,4,4
2016-08-21,2,2,5,5
2016-08-28,2,2,4,4
2016-09-04,3,1,4,4
2016-09-11,3,1,6,6
2016-09-18,3,1,5,5
2016-09-25,2,1,5,5
2016-10-02,3,1,5,5
2016-10-09,3,1,3,3
2016-10-16,3,1,4,4
2016-10-23,3,1,6,6
2016-10-30,3,1,6,6
2016-11-06,3,1,8,8
2016-11-13,3,1,6,6
2016-11-20,3,1,5,5
2016-11-27,3,1,7,7
2016-12-04,3,1,6,6
2016-12-11,3,1,8,8
2016-12-18,4,1,6,6
2016-12-25,5,1,7,7
2017-01-01,7,2,10,10
2017-01-08,6,1,9,9
2017-01-15,4,1,6,6
2017-01-22,4,1,8,8
2017-01-29,4,1,7,7
2017-02-05,5,1,6,6
2017-02-12,4,1,7,7
2017-02-19,5,1,7,7
2017-02-26,6,1,10,10
2017-03-05,7,1,10,10
2017-03-12,6,1,7,7
2017-03-19,6,2,8,8
2017-03-26,5,1,6,6
2017-04-02,5,1,7,7
2017-04-09,5,1,6,6
2017-04-16,5,1,9,9
2017-04-23,5,1,7,7
2017-04-30,7,2,10,10
2017-05-07,10,2,15,15
2017-05-14,11,2,20,20
2017-05-21,19,3,30,30
2017-05-28,13,3,19,19
2017-06-04,13,3,17,17
2017-06-11,14,3,18,18
2017-06-18,11,3,15,15
2017-06-25,11,3,15,15
2017-07-02,9,2,12,12
2017-07-09,11,2,13,13
2017-07-16,12,3,13,13
2017-07-23,11,3,15,15
2017-07-30,15,3,18,18
2017-08-06,15,3,22,22
2017-08-13,21,4,23,23
2017-08-20,16,3,22,22
2017-08-27,17,4,24,24
2017-09-03,19,3,20,20
2017-09-10,21,4,23,23
2017-09-17,16,3,23,23
2017-09-24,13,3,16,16
2017-10-01,13,3,15,15
2017-10-08,19,3,22,22
2017-10-15,20,3,23,23
2017-10-22,21,3,24,24
2017-10-29,28,4,32,32
2017-11-05,29,4,31,31
2017-11-12,31,4,31,31
2017-11-19,28,4,30,30
2017-11-26,66,8,72,72
2017-12-03,95,11,100,100
2017-12-10,85,10,89,89
2017-12-17,100,13,89,89
2017-12-24,66,9,55,55
2017-12-31,48,9,46,46
2018-01-07,46,8,41,41
2018-01-14,57,8,49,49
2018-01-21,38,6,32,32
2018-01-28,40,6,29,29
2018-02-04,48,7,36,36
2018-02-11,28,4,24,24
2018-02-18,25,4,21,21
2018-02-25,19,3,17,17
2018-03-04,20,3,17,17
2018-03-11,19,3,14,14
2018-03-18,18,3,15,15
2018-03-25,18,3,14,14
2018-04-01,17,3,13,13
2018-04-08,16,3,11,11
2018-04-15,14,3,11,11
2018-04-22,15,3,10,10
2018-04-29,13,3,10,10
2018-05-06,13,2,9,9
2018-05-13,12,2,11,11
2018-05-20,12,2,9,9
2018-05-27,11,2,9,9
2018-06-03,10,2,7,7
2018-06-10,12,2,9,9
2018-06-17,11,2,7,7
2018-06-24,11,2,8,8
2018-07-01,10,2,7,7
2018-07-08,9,2,6,6
2018-07-15,11,2,9,9
2018-07-22,12,2,10,10
2018-07-29,11,2,8,8
2018-08-05,11,2,9,9
2018-08-12,11,2,9,9
2018-08-19,10,2,9,9
2018-08-26,10,2,10,10
2018-09-02,11,2,11,11
2018-09-09,10,2,11,11
2018-09-16,9,2,8,8
2018-09-23,9,2,8,8
2018-09-30,8,2,7,7
2018-10-07,9,2,9,9
2018-10-14,8,2,10,10
2018-10-21,8,2,5,5
2018-10-28,8,2,8,8
2018-11-04,8,2,8,8
2018-11-11,10,2,9,9
2018-11-18,14,3,11,11
2018-11-25,14,3,12,12
2018-12-02,12,2,10,10
2018-12-09,11,3,8,8
2018-12-16,12,3,10,10
2018-12-23,10,2,8,8
2018-12-30,9,2,7,7
2019-01-06,9,2,7,7
2019-01-13,8,2,8,8
2019-01-20,7,2,8,8
2019-01-27,8,2,9,9
2019-02-03,8,2,9,9
2019-02-10,7,2,8,8
2019-02-17,8,2,8,8
2019-02-24,8,2,8,8
2019-03-03,7,2,6,6
2019-03-10,7,2,6,6
2019-03-17,8,2,6,6
2019-03-24,7,2,7,7
2019-03-31,12,3,9,9
2019-04-07,10,2,7,7
2019-04-14,9,2,7,7
2019-04-21,9,3,6,6
2019-04-28,9,2,6,6
2019-05-05,12,3,9,9
2019-05-12,20,4,13,13
2019-05-19,14,3,11,11
2019-05-26,14,3,11,11
2019-06-02,12,3,10,10
2019-06-09,11,3,8,8
2019-06-16,17,4,13,13
2019-06-23,25,6,21,21
2019-06-30,18,4,14,14
2019-07-07,16,4,11,11
2019-07-14,16,4,11,11
2019-07-21,13,3,9,9
2019-07-28,13,3,10,10
2019-08-04,15,3,11,11
2019-08-11,13,3,9,9
2019-08-18,12,3,11,11
2019-08-25,11,31,9,9
2019-09-01,11,100,8,8
2019-09-08,10,52,8,8
2019-09-15,9,48,8,8
2019-09-22,12,27,9,9
2019-09-29,10,2,8,8
2019-10-06,10,2,9,9
2019-10-13,9,2,8,8
2019-10-20,11,3,8,8
2019-10-27,11,2,9,9
2019-11-03,9,2,9,9
2019-11-10,9,2,6,6
2019-11-17,10,2,6,6
2019-11-24,10,2,7,7
2019-12-01,9,2,6,6
2019-12-08,8,2,8,8
2019-12-15,10,2,8,8
2019-12-22,9,2,6,6
2019-12-29,9,2,7,7
2020-01-05,11,2,9,9
2020-01-12,11,3,8,8
2020-01-19,10,2,8,8
2020-01-26,11,2,8,8
2020-02-02,11,3,8,8
2020-02-09,13,3,10,10
2020-02-16,11,3,9,9
2020-02-23,11,2,8,8
2020-03-01,11,2,8,8
2020-03-08,20,4,15,15
2020-03-15,20,4,14,14
2020-03-22,15,3,10,10
2020-03-29,13,3,8,8
2020-04-05,14,3,9,9
2020-04-12,13,3,9,9
2020-04-19,13,2,8,8
2020-04-26,16,4,12,12
2020-05-03,18,4,12,12
2020-05-10,21,4,12,12
2020-05-17,15,3,8,8
2020-05-24,13,3,9,9
2020-05-31,13,3,8,8
2020-06-07,12,3,8,8
2020-06-14,11,2,8,8
2020-06-21,10,2,8,8
2020-06-28,10,3,8,8
2020-07-05,10,2,6,6
2020-07-12,11,2,10,10
2020-07-19,11,2,7,7
2020-07-26,17,4,10,10
2020-08-02,15,4,11,11
2020-08-09,14,3,10,10
2020-08-16,13,3,10,10
2020-08-23,11,3,7,7
2020-08-30,12,3,9,9
2020-09-06,11,3,7,7
2020-09-13,10,2,9,9
2020-09-20,10,2,7,7
2020-09-27,9,2,7,7
2020-10-04,9,2,7,7
2020-10-11,9,2,7,7
2020-10-18,13,3,8,8
2020-10-25,14,3,8,8
2020-11-01,15,4,9,9
2020-11-08,16,4,12,12
2020-11-15,23,5,17,17
2020-11-22,25,5,16,16
2020-11-29,22,5,15,15
2020-12-06,17,4,12,12
2020-12-13,27,6,18,18
2020-12-20,28,6,19,19
2020-12-27,41,8,21,21
2021-01-03,69,12,37,37
2021-01-10,65,11,33,33
2021-01-17,43,8,23,23
2021-01-24,41,7,21,21
2021-01-31,36,7,20,20
2021-02-07,61,10,35,35
2021-02-14,59,10,31,31
2021-02-21,63,11,30,30
2021-02-28,42,8,19,19
2021-03-07,44,8,21,21
2021-03-14,42,8,21,21
2021-03-21,39,7,18,18
2021-03-28,36,7,17,17
2021-04-04,33,7,15,15
2021-04-11,43,8,23,23
2021-04-18,53,10,27,27
2021-04-25,42,8,19,19
2021-05-02,35,6,20,20
2021-05-09,48,8,27,27
2021-05-16,80,13,38,38
2021-05-23,56,10,25,25
2021-05-30,41,7,18,18
2021-06-06,45,7,19,19
